ASV,s.No,s.Yes,index,stat,p.value,Domain,Phylum,Class,Order,Family,Genus,Species,,GenBank,Similarity,Match,Notes
54da3e844b42d39369127a368dcced1e,0,1,2,0.379590333,0.04,Bacteria, Firmicutes, Bacilli,NA,NA,NA,NA,,,,No,
fdbdbe81dd5e0e2b71693fe87db9691d,0,1,2,0.408939805,0.045,Bacteria, Firmicutes, Bacilli, Erysipelotrichales, Erysipelotrichaceae, Holdemanella, Holdemanella biformis DSM 3989,,,,Yes,
cbd66fa79a3e7fa1c33d29ed908de048,0,1,2,0.397900561,0.025,Bacteria, Firmicutes, Bacilli, Erysipelotrichales, Erysipelatoclostridiaceae, Catenibacterium,Catenibacterium mitsuokai,,,,Yes,
80dbd6cdd5798902a9038eb121f7f640,1,0,1,0.501176699,0.03,Bacteria, Firmicutes, Clostridia, Clostridia_UCG-014, Clostridia_UCG-014, Clostridia_UCG-014,NA,,,,No,
ce7e172e3d64bc42dddb2f4aa26e3a03,0,1,2,0.553025651,0.02,Bacteria, Desulfobacterota, Desulfovibrionia, Desulfovibrionales, Desulfovibrionaceae, Desulfovibrio,Desulfovibrio piger ATCC 29098,,,,Yes,
9b695df7c620cdc44eb078b53cef23de,0,1,2,0.277350098,0.04,Bacteria, Firmicutes, Clostridia, Oscillospirales, [Eubacterium]_coprostanoligenes_group, [Eubacterium]_coprostanoligenes_group, Eubacterium_coprostanoligenes,,,,,
8b7dd3e4e3f153a95c528f452b48a2bd,0,1,2,0.387295538,0.045,Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Rikenellaceae, Rikenellaceae_RC9_gut_group,NA,,,,No,
dc04cb67b3295173275e20a8a7a3d16a,0,1,2,0.407867734,0.04,Bacteria, Bacteroidota, Bacteroidia, Flavobacteriales, Flavobacteriaceae,NA,NA,,,,No,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Organism,Group,stat,p-value,,,,,,,,,,,,,,
Desulfovibrio piger ATCC 29098,Farm,0.553,0.020,,,,,,,,,,,,,,
 Clostridia UCG-014c,Non-farm,0.501,0.030,,,,,,,,,,,,,,
 Holdemanella biformis DSM 3989,Farm,0.409,0.045,,,,,,,,,,,,,,
 Flavobacteriaceaeb,Farm,0.408,0.040,,,,,,,,,,,,,,
Catenibacterium mitsuokai,Farm,0.398,0.025,,,,,,,,,,,,,,
 Rikenellaceae RC9 gut groupc,Farm,0.387,0.045,,,,,,,,,,,,,,
Bacillia,Farm,0.380,0.040,,,,,,,,,,,,,,
 Eubacterium_coprostanoligenes,Farm,0.277,0.040,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
a = class,,,,,,,,,,,,,,,,,
b = family,,,,,,,,,,,,,,,,,
c = genus,,,,,,,,,,,,,,,,,
